TNFRSF14
TP53
PICALM
PIK3CA
PIK3CB
PIK3R1
PIM1
SETD2
SF3B1
SFPQ
SH2B3
TP63
TRAF7
TRRAP
PLCG1
PMS2
POLD1
POLE
SIX1
SLC34A2
SMAD2
TSC1
POT1
POU2AF1
POU5F1
SMAD3
SMAD4
SMARCA4
TSC2
PPARG
PPM1D
PPP2R1A
U2AF1
PPP6C
PRDM1
PRDM16
SMARCB1
SMO
UBR5
USP8
PREX2
PRKACA
PRKAR1A
PSIP1
PTCH1
SOCS1
VHL
WAS
WIF1
WT1
PTEN
PTK6
SPEN
XPO1
ZBTB16
ZFHX3
ZRSR2
PTPN11
SPOP
SRC
PTPN13
PTPRB
SRSF2
PTPRT
QKI
RABEP1
RAC1
STAG2
STAT3
RAD21
RAF1
RANBP2
RAP1GDS1
RB1
STAT5B
RBM10
RECQL4
RET
STK11
RHOA
RHOH
RNF213
RNF43
ROS1
RPL5
SUFU
SUZ12
RUNX1T1
SALL4
TBL1XR1
TBX3
TCF7L2
PBRM1
PBX1
PDCD1LG2
PDGFRA
PER1
SDHA
SETBP1
TCL1A
TENT5C
TERT
TET1
PHF6
PHOX2B
TET2
TFE3
TGFBR2
TNFAIP3
GATA3
GNA11
GNAQ
GNAS
GPC3
GRIN2A
H3F3A
MET
MLH1
AKT1
ALDH2
ALK
AMER1
APC
APOBEC3B
CSF3R
CTCF
CTNNB1
H3F3B
HEY1
HIF1A
HIP1
HIST1H3B
HNF1A
MLLT10
MPL
AR
ARHGAP26
ARHGAP35
CUX1
CXCR4
CYLD
HNRNPA2B1
HOXA11
HRAS
IDH1
MSH2
MSH6
ARID1A
ARID1B
DAXX
DDB2
IDH2
IKBKB
IKZF1
MTOR
MYC
ARID2
ARNT
ASXL1
ATM
DDIT3
DDR2
DDX10
DDX3X
DDX5
DDX6
IL6ST
IL7R
NRAS
NT5C2
NTRK1
ATP1A1
ATP2B3
ATR
ATRX
AXIN1
DICER1
DNM2
DNMT3A
IRS4
JAK1
JAK2
MYCN
MYD88
MYOD1
AXIN2
B2M
BAP1
BARD1
DROSHA
EBF1
EGFR
EIF3E
JAK3
KDM5C
KDM6A
NF1
NF2
NFE2L2
NFKBIE
NONO
BCL10
BCL11A
BCL9
BCL9L
BCOR
BCORL1
ELF4
ELK4
ELL
EML4
EP300
EPAS1
KDR
KEAP1
KIT
KLF4
KMT2A
NTRK3
BIRC3
BLM
BMPR1A
BRAF
BRCA1
BRCA2
EPS15
ERBB2
ERBB3
ERBB4
ERCC2
ERCC3
ERCC4
KMT2C
KMT2D
NAB2
NCOA2
NCOR1
BRD4
BRIP1
BTK
BUB1B
CACNA1D
CALR
ERCC5
ERG
ESR1
ETNK1
ETV6
EWSR1
KNL1
KRAS
LATS1
NOTCH1
NOTCH2
CAMTA1
CARD11
CARS
CASP8
CBFA2T3
CBFB
CBL
EZH2
EZR
LATS2
LCK
LEF1
PAFAH1B2
PAX3
PAX5
PAX7
PAX8
CBLB
CCDC6
CCNB1IP1
CCND1
CCND2
CCNE1
CD79A
CD79B
CDC73
FANCD2
FAS
FAT1
FAT4
FBXO11
LIFR
LMNA
LRP1B
LZTR1
MAP2K1
NCOR2
NDRG1
CDH1
CDH11
CDK12
CDK4
CDK6
CDKN1B
FBXW7
FCGR2B
FES
FGFR1
MAP2K2
MAP2K4
NPM1
CDKN2A
CDKN2C
FGFR2
FGFR3
FGFR4
FHIT
FLT3
FLT4
MAP3K1
CEBPA
FOXA1
FOXL2
FUBP1
FUS
MAP3K13
MAPK1
MAX
ABI1
ABL1
ACKR3
ACSL6
ACVR1
CHD4
CHEK2
CIC
CIITA
CLTC
GAS7
GATA1
GATA2
MED12
MEN1
ACVR2A
AFF4
AKAP9
CLTCL1
CNBP
CNOT3
CREB3L1
CREB3L2
CREBBP
CRTC1
CSMD3
FAT3
CDH10
NBEA
BCL2
BIRC6
HLA-A
NSD1
FAM135B
MUC6
RGS7
CTNNA2
PTPRD
CTNND2
PABPC1
BTG1
RGPD3
MYH9
SOX9
USP6
RUNX1
ELF3
MGA
DCC
MYH11
H3-3A
CDKN1A
ZMYM3
ZEB1
POLQ
MECOM
PRKCB
SGK1
ROBO2
PCBP1
GTF2I
ID3
P2RY8
BTG2
IRF4
BCLAF1
HLA-B
GRM3
FOXO1
MEF2B
CHD2
EIF1AX
RASA1
TMSB4X
FN1
H3C2
USP9X
PTPRC
FBLN2
RXRA
NIPBL
CADM2
ZNF521
KLF5
EPHA7
MB21D2
STAT6
BCR
CCND3
RPS6KA3
ASXL2
PARP4
CMTR2
CUL3
ZNF750
NFKB2
CRNKL1
BCL6
BCL2L12
TAF1L
BRD7
BCL7A
NFKBIA
SP140
PRKD2
ATF7IP
TGIF1
ZFP36L1
GNA13
AFDN
AJUBA
EPHA3
SETD1B
CNTRL
FOXA2
ARHGAP5
CNOT9
TOP1
POU2F2
INPPL1
DCAF12L2
MSN
ABL2
ANK1
SETDB1
SOX17
ZNF626
RHPN2
ZNF429
PTPRK
FAM174B
TCF12
IKZF3
PTPN14
RPL10
MAML2
ZBTB20
KAT6B
ELN
SIRPA
NSD2
COL1A1
PTPRU
ZNF208
KMT2B
ARHGEF10
TFAP4
SMURF2
TRIP11
CD209
TNC
SOS1
TRIM49C
ZNF721
SAMHD1
DTX1
ULK1
ZNF93
MED23
RRAGC
NIN
NUMA1
MUC20
HCAR3
KNSTRN
COL6A3
DCSTAMP
ZNF680
FMN2
HDAC4
CYP2C8
SMC1A
DGCR8
CASZ1
MAP2K7
EFTUD2
ETV1
ZNF814
LDB1
ARAF
EPHA2
DHX9
SOHLH2
KLF6
PER3
IRF1
KAT6A
RPS3A
BMP6
DUSP16
PLAG1
EIF4A2
NUP214
ING1
DIS3
AKT3
HOXC13
USP13
KLHL6
CD58
JUN
HSPG2
TCF4
FCGBP
EGR2
RBM39
CPEB3
WNK2
KDM3B
PRKCD
PTMA
NKX2-1
BCL11B
PCMTD1
IRAK1
ZXDB
MYEOV
LYN
NXF1
CLIP1
RRAS2
FLCN
NRG1
GNAI2
PPP3CA
ZNF90
FBN2
TGFBR1
TLL1
PRDM2
ACSM3
CREM
SUSD2
ARHGEF10L
FGD1
GPC5
KMT5A
TOP2A
SDCBP
NUTM1
RRN3
MDM2
ITGAV
PDGFRB
CYSLTR2
CSF1R
TAL1
ANKRD11
KIF5B
PSPC1
ZNF395
GPAA1
ACSL3
FH
SMARCA1
UBXN11
DSP
NFATC2
MYO5A
RELA
ZBTB7B
PTPN6
LSM14A
SNX29
NT5C3A
FOXP1
SLC35E2A
NCAPH
NRK
RIPK1
FAT2
ZCRB1
RASA2
CSPG4
U2AF2
NSD3
HSP90AA1
RBM38
TRIM33
MDM4
RBM15
MLLT3
CDX2
CD274
RNF6
BAZ1A
TFRC
TRAF3
RBFOX1
LTB
ZNF799
ZNF780A
GMPS
TSHR
ACVR1B
ZNRF3
ABCC4
ALPK1
NPRL2
RPL22
ZNF331
FCRL4
NVL
MSI2
LPA
TRPM8
PEG3
FANCF
USP7
ATG7
MDGA2
COL6A6
PDE4DIP
PTPN3
HLA-C
ZBTB48
COL2A1
NUTM2D
SMARCA2
SRGAP3
SIN3A
ARHGEF12
DOT1L
MARK2
ZMYM2
MLLT6
GLI1
CCR7
MLLT1
PML
RSPO2
FGD5
FANCC
CANT1
ETV5
PWWP2A
ETV4
LRIG3
PCM1
MAF
TAL2
TRIM24
FOXO3
TFEB
TPR
S100A7
HSP90AB1
UBE2A
STIL
CHRDL1
SOX21
NFIB
TEC
SMARCD1
AFF1
MACC1
ESRRA
MIB2
TAF15
ZNF274
KDSR
TFG
REST
ACD
ACLY
ACO1
ACO2
ACTN1
ACTN3
ACTR2
ACTR3
AGGF1
AGL
AIMP2
ALDOA
ALDOB
ALDOC
AMOT
ANG
ANGPT1
ANGPT2
